trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
165,False,"{'a': 0.002, 'e': 0.7203630197053014}",25,13,0.4868852122894456,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.002, 'e': 0.7189237334319262}",20,0,-15.961918906572949,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
167,False,"{'a': 0.002, 'e': 0.7174873228544433}",20,2,-126.15943075187619,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 2}",1
168,False,"{'a': 0.002, 'e': 0.7160537822272085}",30,0,-140.85206820040318,"{0: 17, 1: 6, 2: 5, 3: 0, 4: 2}",0
169,False,"{'a': 0.002, 'e': 0.7146231058160573}",30,0,-38.36926669045726,"{0: 24, 1: 4, 2: 1, 3: 0, 4: 1}",0
170,False,"{'a': 0.002, 'e': 0.7131952878982822}",20,10,-19.39752115304566,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 0}",1
171,False,"{'a': 0.002, 'e': 0.7117703227626097}",30,1,-148.6106442745134,"{0: 19, 1: 4, 2: 3, 3: 0, 4: 3}",1
172,False,"{'a': 0.002, 'e': 0.7103482047091773}",20,8,-32.20801963169658,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
173,False,"{'a': 0.002, 'e': 0.7089289280495107}",25,0,-99.66730337402474,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
174,False,"{'a': 0.002, 'e': 0.7075124871065017}",25,11,11.833943846938194,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
175,False,"{'a': 0.002, 'e': 0.7060988762143844}",20,0,-26.891645215818674,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
176,False,"{'a': 0.002, 'e': 0.7046880897187134}",25,0,0.2281023218085334,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
177,False,"{'a': 0.002, 'e': 0.7032801219763409}",20,14,10.231932456501138,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.002, 'e': 0.701874967355394}",20,11,-26.796351620337376,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
